id,sender,receiver,amount,conducted_on,notes
1,Wilderman LLC,Val Verde,665410,2024-08-29 23:29:42,
2,Cormier-Mraz,Val Verde,890325,2024-05-11 04:20:24,
3,Ziemann Group,Val Verde,554621,2025-01-09 02:13:09,
4,Quitzon Inc,Val Verde,429946,2025-03-15 15:18:06,
5,"Weber, Purdy and Price",Val Verde,973082,2024-07-05 05:55:40,
6,"Denesik, Tillman and Murazik",Val Verde,960655,2024-05-18 03:19:17,
7,"Schultz, Kerluke and Sporer",Val Verde,404501,2025-01-28 09:46:25,
8,Gerhold Inc,Val Verde,577023,2025-02-19 20:51:03,
9,Moen-Ziemann,Val Verde,148703,2024-05-03 14:56:29,
10,Haley and Sons,Val Verde,235539,2024-12-07 01:29:57,
11,Wyman-Bode,Val Verde,810774,2024-10-26 21:11:30,
12,"Schamberger, Funk and Prohaska",Val Verde,634796,2025-05-23 16:01:14,
13,"Padberg, Johnston and Reichert",Val Verde,593414,2024-08-25 00:05:05,
14,Hoppe-Marvin,Val Verde,300289,2025-02-10 11:59:47,
15,Homenick and Sons,Val Verde,227156,2024-01-09 08:30:53,
16,Williamson Inc,Val Verde,212603,2025-01-24 08:14:26,
17,"Aufderhar, Halvorson and Steuber",Val Verde,486760,2024-06-21 22:01:35,
18,Cummings-Blick,Val Verde,510676,2024-10-07 22:41:36,
19,Towne-Predovic,Val Verde,704608,2024-04-26 17:50:13,
20,"McClure, Leuschke and Kunze",Val Verde,618432,2024-10-19 23:30:33,
21,"Lindgren, Thompson and Carter",Val Verde,672640,2024-12-11 05:21:55,
22,Watsica Group,Val Verde,540465,2024-12-16 19:50:32,
23,Nitzsche Group,Val Verde,728053,2024-12-08 00:23:58,
24,Bergnaum Inc,Val Verde,531957,2025-02-08 16:36:49,
25,Pagac-Padberg,Val Verde,953895,2024-09-14 23:46:21,
26,"Skiles, Lakin and Dooley",Val Verde,506071,2024-09-30 12:50:09,
27,Reynolds Group,Val Verde,382080,2024-12-31 07:58:30,
28,Dickinson Inc,Val Verde,326302,2025-02-14 20:23:05,
29,"Effertz, Roberts and Fahey",Val Verde,199301,2025-02-08 00:51:42,
30,"Kuhn, Pfannerstill and Gulgowski",Val Verde,388723,2025-03-19 08:07:28,
31,"Lowe, Mann and Schmitt",Val Verde,330572,2024-10-19 17:56:36,
32,Deckow-Strosin,Val Verde,740739,2024-09-11 09:02:58,
33,Harvey Group,Val Verde,212041,2024-04-18 06:57:59,
34,"Stamm, Koss and Wisoky",Val Verde,163572,2025-01-11 09:12:51,
35,Dare-Johnson,Val Verde,582845,2025-04-24 05:11:37,
36,"Windler, Leffler and Lynch",Val Verde,330617,2024-08-16 14:30:35,
37,Haley LLC,Val Verde,541813,2024-05-27 06:35:35,
38,Beer-Quigley,Val Verde,572164,2024-07-27 21:40:57,
39,Botsford LLC,Val Verde,360136,2024-02-14 03:27:35,
40,"Veum, Crooks and Rippin",Val Verde,313234,2024-08-08 07:42:49,
41,"Stoltenberg, D'Amore and Wuckert",Val Verde,597537,2024-11-07 15:08:45,
42,D'Amore LLC,Val Verde,441011,2024-01-01 06:05:36,
43,Jerde-Trantow,Val Verde,777703,2024-06-05 07:54:45,
44,Bauch and Sons,Val Verde,666383,2025-03-28 20:35:57,
45,Ratke-Mante,Val Verde,167747,2025-05-10 20:30:54,
46,"Bins, Aufderhar and Rowe",Val Verde,906126,2025-04-17 14:37:10,
47,Murphy-Graham,Val Verde,101601,2024-01-22 21:47:52,
48,Hudson-Moore,Val Verde,790434,2025-03-11 18:02:50,
49,Emard-Harris,Val Verde,605079,2024-11-10 23:21:04,
50,Schuster-Langosh,Val Verde,348587,2024-05-16 01:28:07,
51,"Kunze, Watsica and Collins",Val Verde,733995,2024-09-29 19:09:58,
52,Rutherford LLC,Val Verde,949925,2025-01-26 00:20:00,
53,Romaguera-Hammes,Val Verde,892900,2024-10-08 14:59:01,
54,Huels-Doyle,Val Verde,491968,2024-12-22 03:53:30,
55,"Flatley, Schaefer and Parisian",Val Verde,333836,2025-01-11 06:35:44,
56,Muller-O'Hara,Val Verde,828699,2025-04-12 22:28:38,
57,Hessel Group,Val Verde,468710,2024-04-05 15:53:43,
58,"Quigley, Bergnaum and Jerde",Val Verde,716798,2024-08-26 00:52:42,
59,Zemlak-Heaney,Val Verde,844762,2025-05-04 12:44:53,
60,"Pagac, Lakin and Jakubowski",Val Verde,666182,2025-05-07 07:13:24,
61,Kemmer-Lind,Val Verde,412471,2024-09-13 01:36:05,
62,Ortiz-Orn,Val Verde,424519,2024-06-01 11:09:44,
63,"Ebert, Leannon and Adams",Val Verde,367091,2024-06-14 19:30:38,
64,Adams-Terry,Val Verde,808127,2024-07-03 22:48:53,
65,Bernhard-Denesik,Val Verde,668817,2024-04-14 20:02:57,
66,Reinger Inc,Val Verde,849472,2024-04-12 15:26:23,
67,Kutch-Pouros,Val Verde,340504,2024-09-09 19:08:53,
68,Monahan-Kunde,Val Verde,451240,2025-04-23 23:54:37,
69,Keeling LLC,Val Verde,705060,2025-03-04 20:05:31,
70,"Lang, Sporer and Frami",Val Verde,906244,2024-02-08 16:52:02,
71,Cole and Sons,Val Verde,324180,2024-05-28 10:25:06,
72,"Herzog, VonRueden and Parker",Val Verde,358573,2024-01-10 13:40:41,
73,Hahn-Schimmel,Val Verde,293694,2024-07-06 21:23:32,
74,Rau LLC,Val Verde,796396,2025-02-18 23:43:43,
75,Kling-Bailey,Val Verde,943782,2024-07-14 15:09:08,
76,Jones Inc,Val Verde,112645,2024-01-08 20:15:07,
77,Pfannerstill Inc,Val Verde,221947,2025-01-19 01:53:31,
78,Hane Inc,Val Verde,155360,2024-12-09 22:50:45,
79,"Abernathy, Gislason and Lang",Val Verde,742814,2024-06-10 12:38:43,
80,King-Boyle,Val Verde,574977,2025-03-10 16:40:02,
81,Mann-Kohler,Val Verde,344233,2025-03-26 03:52:02,
82,Emmerich-Paucek,Val Verde,184124,2024-02-19 02:47:29,
83,Stamm Group,Val Verde,142563,2024-02-24 13:00:04,
84,Gusikowski LLC,Val Verde,876181,2024-03-30 17:39:11,
85,"Kshlerin, Baumbach and Schumm",Val Verde,685615,2024-04-30 06:23:40,
86,Wolff-McCullough,Val Verde,561219,2025-02-03 16:46:08,
87,Paucek-Douglas,Val Verde,799742,2024-10-12 03:10:33,
88,"Schamberger, Thiel and Murphy",Val Verde,598471,2025-03-26 20:17:47,
89,Bailey and Sons,Val Verde,148259,2025-03-11 05:37:54,
90,Mertz-Schmeler,Val Verde,863362,2024-12-13 02:57:06,
91,"Berge, Quitzon and Stanton",Val Verde,377601,2025-05-14 15:20:05,
92,Kunde-Powlowski,Val Verde,568343,2025-04-24 20:53:02,
93,Gutkowski and Sons,Val Verde,563184,2025-04-09 21:40:07,
94,Tremblay-Douglas,Val Verde,543396,2024-08-15 02:27:17,
95,Swaniawski-Casper,Val Verde,401045,2024-03-26 10:44:12,
96,"Bruen, Jacobi and Leuschke",Val Verde,303662,2025-05-20 01:10:44,
97,"Blick, Pouros and Wiza",Val Verde,556461,2024-05-19 00:39:59,
98,Murray-Prohaska,Val Verde,211084,2025-02-02 08:14:49,
99,Jacobs-Mertz,Val Verde,913386,2024-10-20 23:44:37,
100,Dicki and Sons,Val Verde,285852,2024-05-07 10:24:20,
101,"Yundt, Dickens and Skiles",Val Verde,905614,2024-05-25 07:47:01,
102,"Wunsch, Towne and Balistreri",Val Verde,739841,2024-09-28 05:50:47,
103,"Pollich, Predovic and Mohr",Val Verde,470481,2024-02-09 23:13:23,
104,"Sawayn, McDermott and Welch",Val Verde,763905,2024-10-20 11:04:27,
105,Konopelski Group,Val Verde,743020,2024-11-21 16:28:29,
106,Wisoky Inc,Val Verde,377006,2025-03-27 18:46:06,
107,"Barton, Baumbach and Tromp",Val Verde,317638,2025-02-11 23:15:51,
108,Goldner and Sons,Val Verde,406366,2024-03-04 11:13:52,
109,Reinger-Feil,Val Verde,349103,2024-11-17 12:56:58,
110,Boyle-Champlin,Val Verde,470886,2024-08-02 12:42:59,
111,Baumbach-Nitzsche,Val Verde,478179,2025-03-11 09:12:53,
112,Bayer-Kreiger,Val Verde,393311,2024-10-05 16:40:29,
113,Boyer and Sons,Val Verde,605709,2025-02-07 14:06:31,
114,"Schneider, VonRueden and Lang",Val Verde,903858,2025-01-31 14:02:06,
115,Pollich-Huel,Val Verde,100866,2025-03-04 03:06:12,
116,"Little, Little and Sawayn",Val Verde,215342,2024-04-02 14:38:43,
117,"Becker, Gleichner and Weber",Val Verde,905245,2024-12-29 12:23:49,
118,Dare-Rau,Val Verde,108018,2024-05-26 06:42:16,
119,"Hermann, Boehm and Lindgren",Val Verde,910311,2024-03-20 18:00:32,
120,"Will, Hudson and Fisher",Val Verde,139821,2024-11-25 09:13:58,
121,"Rogahn, Brown and Borer",Val Verde,519704,2024-12-15 07:11:51,
122,Feeney Group,Val Verde,899092,2024-03-10 10:43:21,
123,Bins LLC,Val Verde,117509,2024-04-26 23:03:22,
124,McLaughlin Group,Val Verde,267838,2024-11-11 14:36:05,
125,Dach LLC,Val Verde,784994,2025-01-11 06:46:18,
126,Wyman-Monahan,Val Verde,111252,2025-01-27 02:53:28,
127,"Fahey, Wuckert and Kuhlman",Val Verde,568616,2024-11-17 06:26:51,
128,"Kris, Luettgen and Medhurst",Val Verde,918049,2024-09-18 19:17:41,
